# commands

# initial file was prepared with following commands:
# sed 's|   #|\t#|' unifont-apl.txt > unifont-apl.tmp
# awk -F'    ' 'FNR==NR{a[$1]=$2;next}{if($1 in a){print $1 "  " tolower($2) " " a[$1];} else {print;}}' unicode_list.txt unifont-apl.tmp > unifont-apl.txt

# check the number of glyphs in the file
# grep -v -e '^#' -e '^$' unifont-apl.txt  | wc


# ascii

U+0020  # space
U+0021  # exclamation mark !
U+0022  # quotation mark "
U+0023  # number sign #
U+0024  # dollar sign $
U+0025  # percent sign %
U+0026  # ampersand &
U+0027  # apostrophe '
U+0028  # left parenthesis (
U+0029  # right parenthesis )
U+002A  # asterisk *
U+002B  # plus sign +
U+002C  # comma ,
U+002D  # hyphen-minus -
U+002E  # full stop .
U+002F  # solidus /
U+0030  # digit zero 0
U+0031  # digit one 1
U+0032  # digit two 2
U+0033  # digit three 3
U+0034  # digit four 4
U+0035  # digit five 5
U+0036  # digit six 6
U+0037  # digit seven 7
U+0038  # digit eight 8
U+0039  # digit nine 9
U+003A  # colon :
U+003B  # semicolon ;
U+003C  # less-than sign <
U+003D  # equals sign =
U+003E  # greater-than sign >
U+003F  # question mark ?
U+0040  # commercial at @
U+0041  # latin capital letter a A
U+0042  # latin capital letter b B
U+0043  # latin capital letter c C
U+0044  # latin capital letter d D
U+0045  # latin capital letter e E
U+0046  # latin capital letter f F
U+0047  # latin capital letter g G
U+0048  # latin capital letter h H
U+0049  # latin capital letter i I
U+004A  # latin capital letter j J
U+004B  # latin capital letter k K
U+004C  # latin capital letter l L
U+004D  # latin capital letter m M
U+004E  # latin capital letter n N
U+004F  # latin capital letter o O
U+0050  # latin capital letter p P
U+0051  # latin capital letter q Q
U+0052  # latin capital letter r R
U+0053  # latin capital letter s S
U+0054  # latin capital letter t T
U+0055  # latin capital letter u U
U+0056  # latin capital letter v V
U+0057  # latin capital letter w W
U+0058  # latin capital letter x X
U+0059  # latin capital letter y Y
U+005A  # latin capital letter z Z
U+005B  # left square bracket [
U+005C  # reverse solidus \
U+005D  # right square bracket ]
U+005E  # circumflex accent ^
U+005F  # low line _
U+0060  # grave accent `
U+0061  # latin small letter a a
U+0062  # latin small letter b b
U+0063  # latin small letter c c
U+0064  # latin small letter d d
U+0065  # latin small letter e e
U+0066  # latin small letter f f
U+0067  # latin small letter g g
U+0068  # latin small letter h h
U+0069  # latin small letter i i
U+006A  # latin small letter j j
U+006B  # latin small letter k k
U+006C  # latin small letter l l
U+006D  # latin small letter m m
U+006E  # latin small letter n n
U+006F  # latin small letter o o
U+0070  # latin small letter p p
U+0071  # latin small letter q q
U+0072  # latin small letter r r
U+0073  # latin small letter s s
U+0074  # latin small letter t t
U+0075  # latin small letter u u
U+0076  # latin small letter v v
U+0077  # latin small letter w w
U+0078  # latin small letter x x
U+0079  # latin small letter y y
U+007A  # latin small letter z z
U+007B  # left curly bracket {
U+007C  # vertical line |
U+007D  # right curly bracket }
U+007E  # tilde ~

# latin-1

U+00A0  # no-break space  
U+00A1  # inverted exclamation mark ¡
U+00A2  # cent sign ¢
U+00A3  # pound sign £
U+00A4  # currency sign ¤
U+00A5  # yen sign ¥
U+00A6  # broken bar ¦
U+00A7  # section sign §
U+00A8  # diaeresis ¨
U+00A9  # copyright sign ©
U+00AB  # left-pointing double angle quotation mark «
U+00AC  # not sign ¬
U+00AE  # registered sign ®
U+00AF  # macron ¯
U+00B0  # degree sign °
U+00B1  # plus-minus sign ±
U+00B2  # superscript two ²
U+00B3  # superscript three ³
U+00B4  # acute accent ´
U+00B5  # micro sign µ
U+00B6  # pilcrow sign ¶
U+00B7  # middle dot ·
U+00B8  # cedilla ¸
U+00B9  # superscript one ¹
U+00BA  # masculine ordinal indicator º
U+00BB  # right-pointing double angle quotation mark »
U+00BC  # vulgar fraction one quarter ¼
U+00BD  # vulgar fraction one half ½
U+00BE  # vulgar fraction three quarters ¾
U+00BF  # inverted question mark ¿
U+00C0  # latin capital letter a with grave À
U+00C1  # latin capital letter a with acute Á
U+00C2  # latin capital letter a with circumflex Â
